id,stage,band,date,time,duration,samlpe set URL,tags
1,Daad Stage,Opening Ceremony,2026.06.18.,7:30:00 PM,0:30:00,https://www.youtube.com/watch?v=GqkkEsMwq-c,"community, walking, atmosphere "
2,Daad Stage,Charlotte de Witte,2026.06.18.,8:00:00 PM,1:30:00,https://music.youtube.com/channel/UC-yOW3e6zBSo1JwLXq46Suw,"techno, acid techno"
3,Daad Stage,Mode & Valens,2026.06.18.,9:30:00 PM,1:30:00,https://soundcloud.com/technokunst/mode-valens-technokunst-supper-club-larm-20201010,techno
4,Daad Stage,Dj Nobu & Dasha Rush,2026.06.18.,11:00:00 PM,2:00:00,https://soundcloud.com/sounditbcn/soundit-sessions-05-dasha-rush-b2b-dj-nobu-soundit-festival-170725-parc-nou,"techno, experimental"
5,Daad Stage,Oscar Mulero,2026.06.19.,1:00:00 AM,2:00:00,https://music.youtube.com/channel/UCkYZXfq4GYGHS6iS3xQJVRg,"techno, dark techno"
6,Daad Stage,Setaoc Mass,2026.06.19.,3:00:00 AM,2:00:00,https://music.youtube.com/browse/MPREb_suFSRHbmjqv,techno
7,Daad Stage,Nastia,2026.06.19.,5:00:00 AM,2:00:00,https://soundcloud.com/nastia_ua/dj-nastia-techno-dj-set-in-the-october-palace,"techno, minimal"
8,The Dome,Li & Baco,2026.06.18.,9:00:00 PM,2:00:00,https://on.soundcloud.com/y1BvKpcMnxSn8z2vF4,microhouse
9,The Dome,Satoshi Tomiee (live),2026.06.18.,11:00:00 PM,1:30:00,https://on.soundcloud.com/w75fL3ngtc2r4XDbKM,"acid, dub, house, progressive"
10,The Dome,Dj Hell,2026.06.19.,12:30:00 AM,2:00:00,https://on.soundcloud.com/0dC1lgxFiuxfpgnxQr,"techno, progressive, dark disco"
11,The Dome,Dresden,2026.06.19.,2:30:00 AM,2:00:00,https://on.soundcloud.com/5BijiJi7RDskk6Byf0,"techno, house"
12,The Dome,Manek & Tom Select,2026.06.19.,4:30:00 AM,2:00:00,https://www.youtube.com/watch?v=KGdmdCokO0Q,"house, minimal"
13,The Dome,Kirill & Kernel,2026.06.19.,6:30:00 AM,1:30:00,https://soundcloud.com/daadgathering/kirill-kernel-daad-gathering-2025-ambeach,"minimal, techno"
14,Dragon Nest,Max Cooper (live av),2026.06.18.,9:30:00 PM,2:00:00,https://soundcloud.com/max-cooper/maxcooperdjset-darkmatterberlin2024,"ambient, electronica"
15,Dragon Nest,Calibre,2026.06.18.,11:30:00 PM,2:00:00,https://www.youtube.com/watch?v=mqxTO9UAkrY,"drum and bass, liquid dnb"
16,Dragon Nest,Cadik,2026.06.19.,1:30:00 AM,2:00:00,https://soundcloud.com/cadik,"dubstep, bass"
17,AM/Beach,Lutum,2026.06.18.,9:00:00 AM,2:00:00,https://www.youtube.com/watch?v=rmZ_4Av2gCA,"house, electronic"
18,AM/Beach,Liro,2026.06.18.,11:00:00 AM,2:00:00,https://soundcloud.com/radiozora/liro-on-the-way-to-daad-2024?in=radiozora%2Fsets%2Fon-the-way-to-daad-gathering-2,"house, electronic"
19,AM/Beach,Krics & Parts Unknown,2026.06.18.,1:00:00 PM,2:00:00,https://www.youtube.com/watch?v=muLh-LLMphw,"house, minimal"
20,AM/Beach,Peter Bernath,2026.06.18.,3:00:00 PM,1:30:00,https://soundcloud.com/peterbernath,"minimal, house"
21,Cooking Groove,Vedat Akdag,2026.06.17.,9:00:00 PM,2:00:00,https://soundcloud.com/daadgathering/vedat-akdag-live-daad-gathering-2025-ambeach,"house, techno"
22,Cooking Groove,Pachanga Boys,2026.06.17.,11:00:00 PM,2:00:00,https://soundcloud.com/beyondafterlife/pachanga-boys-live-at-de,"techno, house, minimal"
23,Cooking Groove,Radio Slave,2026.06.18.,2:00:00 AM,2:00:00,https://www.youtube.com/@radioslaveofc,"house, techno"
24,Cooking Groove,Zvezda Beta,2026.06.18.,4:00:00 AM,2:00:00,https://soundcloud.com/zvezda/seed-feat-legal-pres-backstage,"techno, minimal, progressive, dark house"
25,AM/Beach,Moonbase Patel Disco,2026.06.19.,9:00:00 AM,3:00:00,https://soundcloud.com/moonbasepateldisco,"disco, house"
26,AM/Beach,Ruenge,2026.06.19.,12:00:00 PM,2:00:00,https://soundcloud.com/ruengeruenge,"minimal, house"
27,AM/Beach,Dj Syncbutton,2026.06.19.,2:00:00 PM,2:00:00,https://www.youtube.com/watch?v=Kc8oHawZp6Q,"house, minimal"
28,AM/Beach,Galactic Jackson,2026.06.19.,4:00:00 PM,2:00:00,https://soundcloud.com/galactic-jackson,"minimal, house, synthwave"
29,AM/Beach,Mind Enterprises,2026.06.19.,6:00:00 PM,2:00:00,https://soundcloud.com/mndntrprss,"italo disco, house, synthwave"
30,Cooking Groove,EFF:EK aka Zakharov x Fluidum,2026.06.19.,10:00:00 AM,2:00:00,https://soundcloud.com/zakhorov/sets/zakhorov-mixes,"techno, experimental"
31,Cooking Groove,Fury,2026.06.19.,12:00:00 PM,2:00:00,https://www.youtube.com/watch?v=vl1HHzU3H-I,"techno, house"
32,Cooking Groove,Fáni Bácsi,2026.06.19.,2:00:00 PM,2:00:00,https://soundcloud.com/daadgathering/fani-bacsi-daad-gathering-2024-cooking-groove,"psytech, techno, darkpsy"
33,Daad Stage,Cari Lekebusch,2026.06.19.,8:00:00 PM,2:00:00,https://www.youtube.com/watch?v=AR52XysMrus,techno
34,Daad Stage,Cvrdwell,2026.06.19.,10:00:00 PM,1:30:00,https://www.youtube.com/watch?v=zmLOLA7qoPw,techno
35,Daad Stage,Colin Benders (live),2026.06.19.,11:30:00 PM,1:30:00,https://www.youtube.com/watch?v=Jwz-xRu73bk,"modular techno, live electronic"
36,Daad Stage,Len Faki,2026.06.20.,1:00:00 AM,2:00:00,https://www.youtube.com/watch?v=w_5W9lazZi8,techno
37,Daad Stage,Blawan,2026.06.20.,3:00:00 AM,2:00:00,https://soundcloud.com/platform/blawan-dkmntl/sets,"techno, industrial"
38,Daad Stage,Hyperaktivist,2026.06.20.,5:00:00 AM,2:00:00,https://www.youtube.com/watch?v=hBxzvQPJadA,"techno, trance"
